40 44
45 41
3 3
215 226
15 13
63 54
0 21
210 191
0 1
8 5
232 216
22 26
0 10
1 3
26 19
18 26
0 113
12 11
7 11
33 35
2 2
6 6
3 3
763 535
35 33
13 12
2 3
25 25
11 11
12 10
1 1
2 2
30 29
1 1
2 2
7 7
100 95
1 1
59 80
5 9
1 1
7 6
1 1
7 9
6 6
1 1
11 11
1 1
7 10
5 5
78 69
3 3
21 14
8 10
63 66
1 1
17 17
6 9
14 52
1 1
56 54
1 1
2 2
2 2
1 1
6 6
42 37
4 4
1 1
7 6
5 7
12 8
0 1
1 2
1 1
2 2
4 6
5 6
12 15
5 6
26 14
32 24
6 9
3 3
2 1
2 3
2 6
1 1
0 1
32 32
2 2
42 36
8 8
92 93
11 12
2 2
2 2
1 1
21 21
4 3
11 11
22 20
43 41
1 1
15 15
2 3
5 5
12 13
36 28
5 3
3 10
4 6
1 1
3 2
7 7
2 2
1 3
7 7
3 3
2 2
9 8
1 2
13 13
10 11
1 1
1 2
1 1
53 50
1 1
3 4
4 4
1 1
4 3
10 9
37 34
2 7
9 10
5 6
24 24
1 1
3 3
23 19
2 2
11 12
1 1
32 32
2 2
2 3
1 1
2 3
18 17
2 2
3 3
1 1
1 1
45 50
6 4
8 7
2 4
127 115
10 9
24 31
0 1
15 15
6 7
27 30
1 1
5 6
1 2
6 6
1 1
12 14
54 53
9 9
3 3
1 2
18 18
0 1
0 11
8 7
6 3
6 6
14 13
5 32
4 4
1 1
1 3
2 2
2 3
9 13
12 13
3 2
1 1
8 6
11 8
3 4
7 5
14 16
4 5
5 4
4 11
3 5
1 1
3 2
2 3
8 9
20 20
12 9
1 1
1 0
2 1
32 33
93 18
2 2
3 2
0 3
7 8
6 7
2 2
0 2
3 5
18 17
1 1
5 5
3 4
8 8
4 5
2 2
9 12
27 25
17 21
1 2
5 6
47 37
1 2
1 2
3 4
59 58
0 1
5 6
13 15
10 8
6 6
2 2
1 1
7 7
1 1
1 1
1 2
4 6
1 1
24 21
1 6
2 3
8 10
2 2
4 4
0 1
1 1
104 100
5 4
1 1
1 1
1 2
11 13
45 34
4 7
1 1
12 11
2 2
3 2
0 2
2 2
4 4
6 4
8 8
5 5
11 8
1 1
5 5
12 11
1 1
5 6
1 1
1 3
1 1
0 1
0 1
4 4
25 22
1 1
4 8
1 1
5 6
0 1
27 28
2 1
86 85
1 1
1 1
4 4
3 4
11 12
3 2
1 2
7 5
1 1
1 1
2 2
1 1
2 1
6 6
35 35
2 3
2 3
10 11
8 10
1 1
3 4
1 1
16 18
12 12
1 1
10 11
3 4
17 18
1 1
2 2
10 9
1 1
2 3
7 9
2 3
12 11
17 16
23 11
11 12
5 1
16 18
1 1
8 8
8 8
1 1
6 6
19 19
3 3
0 2
11 14
3 3
4 5
3 3
8 10
1 1
18 20
13 14
3 3
6 5
6 7
1 1
0 1
16 11
2 4
1 1
3 2
11 12
1 1
3 2
5 5
1 1
2 2
13 13
1 3
2 2
6 2
8 8
1 1
16 13
2 2
2 1
1 1
20 19
2 3
3 4
2 4
1 2
1 1
2 2
21 21
3 3
3 3
8 10
1 1
2 1
16 16
2 2
4 2
5 2
5 4
11 14
2 2
3 4
62 59
4 5
15 14
13 15
2 2
1 1
4 15
1 1
0 1
31 25
8 7
9 9
16 16
0 3
2 3
2 3
3 3
6 5
0 1
0 1
0 1
16 15
1 1
36 37
1 1
0 1
26 22
1 1
4 4
0 2
9 9
10 10
3 2
50 53
18 17
9 8
3 3
13 11
4 3
3 4
6 6
7 5
4 4
10 12
19 18
2 2
0 1
1 1
4 2
3 2
4 3
1 2
4 4
4 3
2 2
1 1
3 4
2 2
5 5
2 2
5 5
3 3
0 1
5 5
0 1
1 1
19 18
0 1
10 10
0 1
34 34
45 60
1 1
0 1
0 1
2 2
80 47
4 4
2 2
1 1
10 11
1 1
4 3
15 13
8 10
16 27
4 4
56 54
8 9
19 18
47 43
1 1
7 7
3 3
0 1
1 1
2 2
23 79
167 144
17 15
3 5
2 2
0 1
51 44
